field_order,field_type,field_id,label,description,data_source,required,placeholder,options_type,default_value
1,markdown,instructions,Instructions,"# Horizontal Grid Properties Documentation\n\nThis template documents horizontal grid specifications as compound objects referenced by model components. Based on EMD Section 4.1 requirements.",none,false,,,
2,dropdown,grid,Grid,"The horizontal grid type.\n\nMANDATORY field from Native horizontal grid Type CV.",horizontal_grid_types,true,,dict_keys,
3,textarea,description,Description (Optional),"Free-text description of the horizontal grid.\n\nOPTIONAL field.",none,false,"Additional horizontal grid details if needed",,
4,dropdown,grid_mapping,Grid Mapping,"The coordinate reference system of the horizontal coordinates.\n\nMANDATORY field from Grid Mapping CV.",grid_mappings,true,,list,
5,dropdown,region,Region,"The portion of the globe where calculations are performed.\n\nMANDATORY field from Region CV.",horizontal_regions,true,,dict_keys,
6,dropdown,temporal_refinement,Temporal Refinement,"How the distribution of grid cells varies with time.\n\nMANDATORY field from Temporal refinement CV.",temporal_refinements,true,,dict_keys,
7,dropdown,arrangement,Arrangement,"Grid arrangement of orthogonal physical quantities.\n\nMANDATORY field from Arrangement CV.",grid_arrangements,true,,list,
8,input,resolution_x,Resolution X,"Horizontal resolution in X direction.\n\nOPTIONAL float field.",none,false,"e.g., 1.25",,
9,input,resolution_y,Resolution Y,"Horizontal resolution in Y direction.\n\nOPTIONAL float field.",none,false,"e.g., 0.9375",,
10,dropdown,horizontal_units,Horizontal Units,"Units for resolution_x and resolution_y.\n\nOPTIONAL field - Required if resolution_x or resolution_y are set.",resolution_units,false,,dict_keys,
11,input,n_cells,N Cells,"Total number of grid cells.\n\nMANDATORY integer field.",none,true,"e.g., 139968",,
12,input,n_sides,N Sides,"Number of cell sides for unstructured grids.\n\nOPTIONAL integer field.",none,false,"e.g., 714274",,
13,input,n_vertices,N Vertices,"Number of vertices for unstructured grids.\n\nOPTIONAL integer field.",none,false,"e.g., 567145",,
14,dropdown,truncation_method,Truncation Method,"Method for truncating spherical harmonic expansion.\n\nOPTIONAL field from Truncation method CV.",truncation_methods,false,,list,
15,input,truncation_number,Truncation Number,"Truncation number for spectral grids.\n\nOPTIONAL integer field.",none,false,"e.g., 63",,
16,input,resolution_range_km,Resolution Range (km),"Minimum and maximum resolution in km.\n\nMANDATORY field as [float,float].\n\nFormat: min, max",none,true,"e.g., 57.0, 290",,
17,input,mean_resolution_km,Mean Resolution (km),"Mean resolution in km.\n\nMANDATORY float field.",none,true,"e.g., 234.5",,
18,dropdown,nominal_resolution,Nominal Resolution,"Nominal resolution characterizing the grid.\n\nMANDATORY field from Nominal resolution CV.",nominal_resolutions,true,,list,
19,dropdown,issue_category,Issue Type,This is pre-set and cannot be changed.,issue_category,true,,hardcoded,0
20,dropdown,issue_kind,Issue Kind,Select whether this is a new submission or modification of existing entry.,issue_kind,true,,hardcoded,0
