field_order,field_type,field_id,label,description,data_source,required,placeholder,options_type,default_value
1,markdown,instructions,Instructions,"# Vertical Grid Properties Documentation\n\nThis template documents vertical grid specifications as compound objects referenced by model components. Based on EMD Section 4.2 requirements.",none,false,,,
2,dropdown,coordinate,Coordinate,"The coordinate type of the vertical grid.\n\nMANDATORY field from Coordinate CV.",vertical_coordinates,true,,dict_keys,
3,textarea,description,Description (Optional),"Free-text description of the vertical grid.\n\nOPTIONAL field.",none,false,"Additional vertical grid details if needed",,
4,input,n_z,N z,"Number of grid cells in Z direction.\n\nOPTIONAL integer field. Must be omitted if n_z_range is set.",none,false,"e.g., 70",,
5,input,n_z_range,N z Range,"Minimum and maximum number of Z grid cells for variable resolution.\n\nOPTIONAL field as [integer,integer]. Must be omitted if n_z is set.\n\nFormat: min, max",none,false,"e.g., 5, 15",,
6,input,bottom_layer_thickness,Bottom Layer Thickness,"Thickness of bottom model layer.\n\nOPTIONAL float field.",none,false,"e.g., 10.0",,
7,input,top_layer_thickness,Top Layer Thickness,"Thickness of top model layer.\n\nOPTIONAL float field.",none,false,"e.g., 10.0",,
8,input,top_of_model,Top of Model,"Value of upper boundary of top model layer.\n\nOPTIONAL float field.",none,false,"e.g., 85003.5",,
9,dropdown,vertical_units,Vertical Units,"Physical units for thickness and boundary values.\n\nOPTIONAL field - Required if any thickness/boundary values are set.",vertical_units,false,,dict_keys,
10,dropdown,issue_category,Issue Type,This is pre-set and cannot be changed.,issue_category,true,,hardcoded,0
11,dropdown,issue_kind,Issue Kind,Select whether this is a new submission or modification of existing entry.,issue_kind,true,,hardcoded,0
